original,prediction,comment,"datapoint_type (0=return, 1=param)",filename,line_number,name,params,return_param_comment,uncertainty,"Classification (I=inconsistency, N=non-standard type name, M=misclassification)",Comment
pixi.graphics,graphics,draw line use current line style current drawing position x current drawing position set x,0,/home/rabee/thesis/data/js_files/testing_files/pixi.js_pixi.js_beautified.js4b6eca603a23744d8019e55d02ca69b4.js,11835,lineTo,x y,graphic object. good chain method call,1.08E-11,N,"Tricky case, but my understanding of http://usejsdoc.org/about-namepaths.html is that the prediction is correct."
date,boolean,return whether provided value date,0,/home/rabee/thesis/data/js_files/testing_files/js-data_js-data.js_beautified.js2ec31b44ad0a921929db00c7c64d10ea.js,1094,isDate,value,whether provided value date,4.14E-11,I,Wrong annotation
object,number,coordinate point start crop,1,/home/rabee/thesis/data/js_files/testing_files/changepic.js_beautified.js80ed7f0cfb200fd374274875e5ab2d39.js,154,crd.y,,,8.52E-11,I,Wrong annotation
function,boolean,check value equal anything array,0,/home/rabee/thesis/data/js_files/testing_files/raml-validate.js_beautified.jsc583ba78e03072137bda4ed5fc2393d0.js,113,isEnum,value,,2.01E-10,I,Wrong annotation
object,number,x coordinate point start crop,1,/home/rabee/thesis/data/js_files/testing_files/changepic.js_beautified.js80ed7f0cfb200fd374274875e5ab2d39.js,154,crd.x,,,6.94E-10,I,Wrong annotation
date,boolean,return whether provided value date,0,/home/rabee/thesis/data/js_files/testing_files/js-data_js-data.es2015.js_beautified.jsad917425aa6bace4a4ea4e07402f5743.js,1087,isDate,value,whether provided value date,7.08E-10,I,"Wrong annotation, same (but in different file) as above"
body,string,string show body notification,1,/home/rabee/thesis/data/js_files/testing_files/external_storage_monitor.js_beautified.jse1952ed4db63ed32a0287da8e11f0236.js,422,str,,,7.73E-10,I,Wrong annotation. Developer mixed up name and type.
int,number,x value point,1,/home/rabee/thesis/data/js_files/testing_files/jquery.touchswipe_jquery.touchSwipe.js_beautified.jse7ff74f1fe5d9e5ec58fb69080a06b19.js,1903,point.y,,,8.77E-10,N,
html,string,category name,1,/home/rabee/thesis/data/js_files/testing_files/logger.js_beautified.jsd04e7d5cfbf38666becb478f6ab3e5e3.js,99,sCategory,,,1.06E-09,I,"Wrong annotation. According to https://yui.github.io/yui2/docs/yui_2.5.1/docs/YAHOO.widget.Logger.html, the log() function expects a string, so the parameter must also be string."
bool,boolean,true include version,1,/home/rabee/thesis/data/js_files/testing_files/Global.js_beautified.js8691a60451493b2230368227a8bd17c2.js,24,bShowVersion,,,1.32E-09,N,
other,boolean,,0,/home/rabee/thesis/data/js_files/testing_files/jsunit_test_runner.js_beautified.js6982b2b2dd3e075be5fe8b993e504402.js,70,didTestSucceed_,,whether test pass failed. call test finish running,1.44E-09,M,Type used by Closure type system for promises
other,string,text show,1,/home/rabee/thesis/data/js_files/testing_files/RichTooltip-dbg.js_beautified.js4d34810074f3e4fa1058890aa35dfba0.js,171,sText,,,1.82E-09,N,some special string instead of string; but all used functionality looks like a string
other,phaser.physics.arcade.body,second body object separate,1,/home/rabee/thesis/data/js_files/testing_files/World.js_beautified.jsc3ff88940cd5ecbaddf82c66c223c981.js,589,body2,,,2.37E-09,M,"appears to be correct, but hard to tell for sure"
float,number,x scale factor,1,/home/rabee/thesis/data/js_files/testing_files/geometry.js_beautified.js57b901a722acd15cbbb63765e1e10425.js,569,sx,,,2.55E-09,M,
other,number,x coordinate tested point,1,/home/rabee/thesis/data/js_files/testing_files/primitives.js_beautified.js203c535c17cdf582ccbc2dce6e020193.js,174,x,,,3.49E-09,N,Numeric instead of number
number,boolean,function check one boundary overlap another boundary,0,/home/rabee/thesis/data/js_files/testing_files/boundary.js_beautified.jsdaef95a7587d059df243ad191c51198d.js,98,isOverlapping,boundary,return true boundary overlap boundary return false,0.000000005,I,Wrong annotation
string,object,object contain property names want loop,1,/home/rabee/thesis/data/js_files/testing_files/pixi.js_pixi.js_beautified.js4b6eca603a23744d8019e55d02ca69b4.js,26510,propertyObj,,,0.000000005,I,Wrong annotation
bool,boolean,whether display map table view,1,/home/rabee/thesis/data/js_files/testing_files/playground.js_beautified.js1d40f687010bb829ce0ed97193854892.js,709,showMap,,,5.93E-09,N,bool versus boolean
function,boolean,set true prevent object move,1,/home/rabee/thesis/data/js_files/testing_files/mover.js_beautified.jsbf57eaa3e9cb60fd9e2d65637cfc740a.js,41,opt_options.isStatic,,,8.42E-09,I,Wrong annotation
function,boolean,check number small minimum,0,/home/rabee/thesis/data/js_files/testing_files/raml-validate.js_beautified.jsc583ba78e03072137bda4ed5fc2393d0.js,65,isMinimum,min,,8.83E-09,M,Interesting example for false positive
